Architecture: alexnet
=> loading checkpoint '/home/annatruzzi/checkpoints/deepcluster_checkpoints/checkpoint_dc_83.pth.tar'
=> loaded checkpoint '/home/annatruzzi/checkpoints/deepcluster_checkpoints/checkpoint_dc_83.pth.tar' (epoch 84)
Load dataset: 11.76 s
Compute features
0 / 5005	Time: 4683.729 (4683.729)
1 / 5005	Time: 0.056 (2341.893)
2 / 5005	Time: 0.037 (1561.274)
3 / 5005	Time: 0.038 (1170.965)
4 / 5005	Time: 0.037 (936.779)
5 / 5005	Time: 0.037 (780.656)
6 / 5005	Time: 0.037 (669.139)
7 / 5005	Time: 0.037 (585.501)
8 / 5005	Time: 0.038 (520.450)
9 / 5005	Time: 0.038 (468.409)
10 / 5005	Time: 0.039 (425.829)
11 / 5005	Time: 0.047 (390.348)
12 / 5005	Time: 0.048 (360.325)
13 / 5005	Time: 0.039 (334.590)
14 / 5005	Time: 0.075 (312.289)
15 / 5005	Time: 0.047 (292.774)
16 / 5005	Time: 0.049 (275.555)
17 / 5005	Time: 0.038 (260.248)
18 / 5005	Time: 0.061 (246.554)
19 / 5005	Time: 0.040 (234.228)
20 / 5005	Time: 0.037 (223.076)
21 / 5005	Time: 0.061 (212.939)
22 / 5005	Time: 0.039 (203.683)
23 / 5005	Time: 0.053 (195.198)
24 / 5005	Time: 0.048 (187.392)
25 / 5005	Time: 1.964 (180.260)
26 / 5005	Time: 0.045 (173.586)
27 / 5005	Time: 0.151 (167.392)
28 / 5005	Time: 0.072 (161.622)
29 / 5005	Time: 0.045 (156.236)
30 / 5005	Time: 0.113 (151.200)
31 / 5005	Time: 0.042 (146.476)
32 / 5005	Time: 0.061 (142.039)
33 / 5005	Time: 0.058 (137.863)
34 / 5005	Time: 0.056 (133.926)
35 / 5005	Time: 0.044 (130.207)
36 / 5005	Time: 0.055 (126.690)
37 / 5005	Time: 2.125 (123.412)
38 / 5005	Time: 0.162 (120.251)
39 / 5005	Time: 0.052 (117.246)
40 / 5005	Time: 0.050 (114.388)
41 / 5005	Time: 0.052 (111.666)
42 / 5005	Time: 0.259 (109.075)
43 / 5005	Time: 0.066 (106.597)
44 / 5005	Time: 0.039 (104.229)
