Architecture: alexnet
Load dataset: 13.17 s
Compute features
0 / 5005	Time: 921.638 (921.638)
1 / 5005	Time: 0.048 (460.843)
2 / 5005	Time: 0.037 (307.241)
3 / 5005	Time: 0.037 (230.440)
4 / 5005	Time: 0.038 (184.360)
5 / 5005	Time: 1.856 (153.942)
6 / 5005	Time: 0.229 (131.983)
7 / 5005	Time: 1.892 (115.722)
8 / 5005	Time: 0.602 (102.931)
9 / 5005	Time: 2.108 (92.848)
10 / 5005	Time: 0.154 (84.422)
11 / 5005	Time: 2.161 (77.567)
12 / 5005	Time: 0.255 (71.620)
13 / 5005	Time: 2.059 (66.651)
14 / 5005	Time: 0.253 (62.224)
15 / 5005	Time: 1.955 (58.458)
16 / 5005	Time: 0.352 (55.040)
17 / 5005	Time: 1.905 (52.088)
18 / 5005	Time: 0.529 (49.374)
19 / 5005	Time: 1.960 (47.003)
20 / 5005	Time: 0.506 (44.789)
21 / 5005	Time: 2.056 (42.847)
22 / 5005	Time: 0.639 (41.012)
23 / 5005	Time: 2.407 (39.403)
24 / 5005	Time: 0.301 (37.839)
25 / 5005	Time: 2.306 (36.472)
26 / 5005	Time: 0.250 (35.131)
27 / 5005	Time: 2.664 (33.971)
28 / 5005	Time: 0.038 (32.801)
29 / 5005	Time: 2.556 (31.793)
30 / 5005	Time: 0.070 (30.770)
31 / 5005	Time: 2.460 (29.885)
32 / 5005	Time: 0.352 (28.990)
33 / 5005	Time: 2.308 (28.205)
34 / 5005	Time: 0.554 (27.415)
35 / 5005	Time: 2.256 (26.716)
36 / 5005	Time: 0.302 (26.003)
37 / 5005	Time: 2.456 (25.383)
38 / 5005	Time: 0.502 (24.745)
39 / 5005	Time: 2.105 (24.179)
40 / 5005	Time: 0.653 (23.605)
41 / 5005	Time: 2.215 (23.096)
42 / 5005	Time: 0.659 (22.574)
43 / 5005	Time: 2.055 (22.108)
44 / 5005	Time: 0.804 (21.634)
45 / 5005	Time: 2.055 (21.209)
46 / 5005	Time: 0.554 (20.769)
47 / 5005	Time: 2.060 (20.379)
48 / 5005	Time: 0.553 (19.975)
49 / 5005	Time: 2.507 (19.625)
50 / 5005	Time: 0.201 (19.245)
51 / 5005	Time: 2.370 (18.920)
52 / 5005	Time: 0.039 (18.564)
53 / 5005	Time: 2.419 (18.265)
54 / 5005	Time: 0.037 (17.933)
55 / 5005	Time: 2.273 (17.654)
56 / 5005	Time: 0.035 (17.345)
57 / 5005	Time: 2.474 (17.088)
58 / 5005	Time: 0.041 (16.799)
59 / 5005	Time: 2.468 (16.560)
60 / 5005	Time: 0.038 (16.290)
61 / 5005	Time: 2.363 (16.065)
62 / 5005	Time: 0.046 (15.811)
63 / 5005	Time: 2.661 (15.605)
64 / 5005	Time: 0.038 (15.366)
65 / 5005	Time: 2.583 (15.172)
66 / 5005	Time: 0.042 (14.946)
67 / 5005	Time: 2.682 (14.766)
68 / 5005	Time: 0.036 (14.552)
69 / 5005	Time: 2.518 (14.380)
70 / 5005	Time: 0.038 (14.178)
71 / 5005	Time: 2.519 (14.017)
72 / 5005	Time: 0.039 (13.825)
73 / 5005	Time: 2.621 (13.674)
74 / 5005	Time: 0.038 (13.492)
75 / 5005	Time: 2.770 (13.351)
76 / 5005	Time: 0.038 (13.178)
77 / 5005	Time: 2.475 (13.041)
78 / 5005	Time: 0.038 (12.876)
79 / 5005	Time: 2.623 (12.748)
80 / 5005	Time: 0.038 (12.591)
81 / 5005	Time: 2.269 (12.465)
82 / 5005	Time: 0.039 (12.315)
83 / 5005	Time: 2.506 (12.199)
84 / 5005	Time: 0.039 (12.056)
85 / 5005	Time: 2.541 (11.945)
86 / 5005	Time: 0.038 (11.808)
87 / 5005	Time: 2.506 (11.702)
88 / 5005	Time: 0.103 (11.572)
89 / 5005	Time: 2.660 (11.473)
90 / 5005	Time: 0.307 (11.350)
91 / 5005	Time: 2.306 (11.252)
92 / 5005	Time: 0.352 (11.135)
93 / 5005	Time: 2.255 (11.040)
94 / 5005	Time: 0.350 (10.928)
95 / 5005	Time: 2.161 (10.836)
96 / 5005	Time: 0.553 (10.730)
97 / 5005	Time: 1.905 (10.640)
98 / 5005	Time: 0.552 (10.539)
99 / 5005	Time: 2.055 (10.454)
100 / 5005	Time: 0.504 (10.355)
101 / 5005	Time: 2.307 (10.276)
102 / 5005	Time: 0.252 (10.179)
103 / 5005	Time: 2.205 (10.102)
104 / 5005	Time: 0.302 (10.009)
105 / 5005	Time: 2.113 (9.934)
106 / 5005	Time: 0.502 (9.846)
107 / 5005	Time: 2.055 (9.774)
108 / 5005	Time: 0.152 (9.686)
109 / 5005	Time: 2.155 (9.617)
110 / 5005	Time: 0.451 (9.535)
111 / 5005	Time: 1.905 (9.467)
112 / 5005	Time: 0.653 (9.389)
113 / 5005	Time: 1.955 (9.324)
114 / 5005	Time: 0.704 (9.249)
115 / 5005	Time: 1.905 (9.185)
116 / 5005	Time: 0.803 (9.114)
117 / 5005	Time: 1.604 (9.050)
118 / 5005	Time: 0.853 (8.981)
119 / 5005	Time: 1.755 (8.921)
120 / 5005	Time: 0.752 (8.853)
121 / 5005	Time: 1.855 (8.796)
122 / 5005	Time: 0.753 (8.731)
123 / 5005	Time: 1.821 (8.675)
124 / 5005	Time: 0.904 (8.613)
125 / 5005	Time: 2.004 (8.560)
126 / 5005	Time: 0.753 (8.499)
127 / 5005	Time: 2.105 (8.449)
128 / 5005	Time: 1.104 (8.392)
129 / 5005	Time: 1.705 (8.340)
130 / 5005	Time: 1.153 (8.286)
131 / 5005	Time: 1.555 (8.235)
132 / 5005	Time: 1.010 (8.180)
133 / 5005	Time: 1.555 (8.131)
134 / 5005	Time: 1.103 (8.079)
135 / 5005	Time: 1.267 (8.029)
136 / 5005	Time: 0.600 (7.974)
137 / 5005	Time: 1.106 (7.925)
138 / 5005	Time: 0.756 (7.873)
139 / 5005	Time: 1.136 (7.825)
140 / 5005	Time: 1.103 (7.777)
141 / 5005	Time: 1.555 (7.734)
142 / 5005	Time: 0.953 (7.686)
143 / 5005	Time: 1.404 (7.642)
